image_url;seller_url;Title;Author
http://www.davidsfonds.be/edition/photos/list/DeEersteWereldoorlog.jpg;http://www.davidsfonds.be/publisher/edition/detail.phtml?id=287&&maxlines=6&orderby=name&id_editiontheme=17&keyword=eerste+wereldoorlog;De Eerste Wereldoorlog;
http://ecx.images-amazon.com/images/I/41R2EF5RJGL._SL160_.jpg;http://www.amazon.com/WALKING-SALIENT-Battleground-Europe-Paul/dp/0850526175; WALKING THE SALIENT (Battleground Europe);Paul Reed
http://ecx.images-amazon.com/images/I/51GR9TPJ0KL._SL160_.jpg;http://www.amazon.co.uk/Zeebrugge-Ostend-Raids-1918/dp/0850528704;The Zeebrugge and Ostend Raids 1918;Deborah Lake
http://ecx.images-amazon.com/images/I/51FC636QS1L._SL160_.jpg;http://www.amazon.co.uk/Great-World-War-1914-45-Lost/dp/0007116330;The Great World War 1914-45: II Who Won? Who Lost?: Who Won? Who Lost? vol. 2;John Bour
http://ecx.images-amazon.com/images/I/51NPBVDP4KL._SL160_.jpg;http://www.amazon.co.uk/Great-World-War-1914-1945-Lightning/dp/0007116179;The Great World War 1914-1945: 1. Lightning Strikes Twice: Lightning Strikes Twice Vol 1;
http://ecx.images-amazon.com/images/I/51ZmZQqltgL._SL160_.jpg;http://www.amazon.co.uk/Storm-Steel-Penguin-Modern-Classics/dp/0141186917;Storm of Steel;Ernst Junger, Michael Hofmann
http://ecx.images-amazon.com/images/I/41AWA8YWT7L._SL160_.jpg;http://www.amazon.co.uk/Western-Front-Marne-After-Battle/dp/0900913711;The Western Front: Then and Now - From Mons to the Marne and Back After the Battle;John Giles
http://ecx.images-amazon.com/images/I/515A7820J2L._SL160_.jpg;http://www.amazon.co.uk/Flanders-Then-Now-After-Battle/dp/0900913487;Flanders: Then and Now (After the Battle);John Giles
http://ecx.images-amazon.com/images/I/51V4BQCXECL._SL160_.jpg;http://www.amazon.co.uk/Somme-Then-Now-John-Giles/dp/090091341X;The Somme: Then and Now;John Giles
http://ecx.images-amazon.com/images/I/41flTDxQQdL._SL160_.jpg;http://www.amazon.co.uk/Gallipoli-Peter-Hart/dp/1846681596;Gallipoli;Peter Hart
http://ecx.images-amazon.com/images/I/41WlZPQvC9L._SL160_.jpg;http://www.amazon.co.uk/Mud-Blood-Poppycock-Military-Paperbacks/dp/0304366595;Mud, Blood and Poppycock: Britain and the Great War;Gordon Corrigan
http://ecx.images-amazon.com/images/I/51CH6HT4FRL._SL160_.jpg;http://www.amazon.co.uk/Pillars-Fire-Battle-Messines-Ridge/dp/0750934646;Pillars of Fire: The Battle of Messines Ridge, June 1917;Ian Passingham
http://ecx.images-amazon.com/images/I/51X8M5T28NL._SL160_.jpg;http://www.amazon.co.uk/War-Underground-Tunnellers-Great/dp/1862270813;War Underground: The Tunnellers of the Great War;Alexander Barrie
http://ecx.images-amazon.com/images/I/51LEWaYW17L._SL160_.jpg;http://www.amazon.co.uk/Magnificent-But-Sword-Military-Classics/dp/184415890X;Magnificent But Not War;John Dixon
http://ecx.images-amazon.com/images/I/41Gt+yAfh6L._SL160_.jpg;http://www.amazon.co.uk/German-Atrocities-1914-History-Denial/dp/0300107919;German Atrocities, 1914: A History of Denial;Horne
http://ecx.images-amazon.com/images/I/5189138MG3L._SL160_.jpg;http://www.amazon.co.uk/Smoke-Fire-Myths-Anti-myths-1861-1945/dp/0850523303;The Smoke and the Fire: Myths and Anti-myths of War, 1861-1945;John Terraine
http://g-ecx.images-amazon.com/images/G/02/misc/no-img-lg-uk._V192212046_.gif;http://www.amazon.co.uk/Vanished-Battalion-HRH-Prince-Edward/dp/0671711318;Vanished Battalion;HRH Prince Edward, Nigel McCrery
